endTime,artistName,trackName,msPlayed
2020-09-22 21:26,The Vamps,Somebody To You,182826
2020-09-22 21:30,Mike Posner,Cooler Than Me,227840
2020-09-22 21:34,Daddy Yankee,Limbo,224693
2020-09-22 21:49,JTM,Money Boat,187624
2020-09-22 21:53,Luke Combs,Beautiful Crazy,193200
2020-09-22 22:00,We The Kings,Kids In The Moonlight,201813
2020-09-22 22:04,Rascal Flatts,Do You Believe In Love,231866
2020-09-22 22:08,Linkin Park,Final Masquerade,217613
2020-09-22 22:39,Arctic Monkeys,Fluorescent Adolescent,108729
2020-09-22 22:47,Rise Against,Satellite,238573
2020-09-22 22:51,Tyla Yaweh,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,231437
2020-09-22 22:54,Tiësto,WOW,148125
2020-09-22 23:09,Vickeblanka,Black Catcher,195000
2020-09-22 23:14,miwa,chAngE,246960
2020-09-22 23:20,Fall Out Boy,Saturday Night's Alright (For Fighting),222556
2020-09-22 23:27,KANA-BOON,ないものねだり,262693
2020-09-22 23:47,GLAY,はじまりのうた,246306
2020-09-22 23:54,Ikimonogakari,Blue Bird,145693
2020-09-23 00:52,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,134635
2020-09-23 03:32,B1A4,Baby Good Night,200248
2020-09-23 03:43,The Lumineers,Ophelia,160097
2020-09-23 04:18,Play-N-Skillz,Bésame,212840
2020-09-23 05:31,John Mayer,Wildfire,179676
2020-09-23 06:33,Rifti Beats,Cha La Head Cha La,187865
2020-09-23 16:55,ABBA,Slipping Through My Fingers,55294
2020-09-23 18:44,nano.RIPE,ラストチャプター,266085
2020-09-23 18:49,Cher,Super Trouper,231480
2020-09-23 19:10,Frankie Valli & The Four Seasons,Beggin' - 2007 Remaster,108624
2020-09-23 20:00,Luke Combs,Without You,224986
2020-09-24 00:16,Luke Combs,Without You,214373
2020-09-24 01:27,Tim McGraw,Good Taste In Women,199007
2020-09-24 01:33,Luke Bryan,One Margarita,193426
2020-09-24 01:38,Ailee,여인의 향기,212560
2020-09-24 01:42,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,157560
2020-09-24 01:47,Old Dominion,Half Empty,170800
2020-09-24 01:51,LOCASH,One Big Country Song,193026
2020-09-24 01:55,Macklemore,Good Old Days (feat. Kesha),240506
2020-09-24 01:59,Evan Todd,Blue,153094
2020-09-24 03:04,Taylor Swift,All Too Well,327893
2020-09-24 03:08,Tony Orlando & Dawn,Knock Three Times,170681
2020-09-24 03:09,Kevin Rudolf,Here's To Us,71948
2020-09-24 03:25,Old Dominion,Some People Do,196266
2020-09-24 03:28,AKMU,Give Love,167097
2020-09-24 17:00,KANA-BOON,ないものねだり,170980
2020-09-24 19:13,KANA-BOON,ないものねだり,91935
2020-09-24 19:15,George Ezra,Budapest,64729
2020-09-24 19:17,The Chords,Sh-Boom,145866
2020-09-24 19:20,LOCASH,One Big Country Song,193026
2020-09-24 19:51,Florida Georgia Line,U.S. Stronger,180053
2020-09-24 21:28,The Crew Cuts,Sh-Boom,86813
2020-09-24 21:53,Chris Tomlin,Who You Are To Me (feat. Lady A),221357
2020-09-24 21:58,Chris Tomlin,Reaching For You (feat. We The Kingdom),281440
2020-09-24 22:24,Fall Out Boy,Dear Future Self (Hands Up),170040
2020-09-24 22:34,Two Door Cinema Club,Undercover Martyn,167773
2020-09-24 22:35,The Kinks,You Really Got Me - Mono Mix,39646
2020-09-24 22:45,Tyla Yaweh,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,231437
2020-09-24 22:46,Chris Tomlin,Reaching For You (feat. We The Kingdom),43227
2020-09-24 22:52,Black Sabbath,War Pigs,374784
2020-09-24 23:03,Fall Out Boy,The Phoenix,244960
2020-09-24 23:10,Hollywood Undead,Party By Myself,193828
2020-09-25 00:25,Old Dominion,Goes Without Saying,247306
2020-09-25 00:31,Zac Brown Band,Let It Go,214264
2020-09-25 01:57,Luke Combs,Without You,224986
2020-09-25 02:09,Sam Hunt,Hard To Forget,204760
2020-09-25 02:16,Sam Hunt,Sinning With You,175811
2020-09-25 02:41,Bowling For Soup,Girl All the Bad Guys Want,197800
2020-09-25 05:49,Christina Perri,A Thousand Years,202816
2020-09-25 15:51,Rise Against,Satellite,238573
2020-09-25 16:08,Scorpions,Rock You Like A Hurricane,50046
2020-09-25 16:56,The Beatles,"Ob-La-Di, Ob-La-Da - Remastered 2009",103223
2020-09-25 18:56,Rascal Flatts,How They Remember You,211706
2020-09-25 18:59,Green Day,American Idiot,176346
2020-09-25 19:01,Elvis Presley,Hound Dog,109030
2020-09-25 19:29,Taylor Swift,The Lucky One,201332
2020-09-25 21:06,Rifti Beats,Cha La Head Cha La,187090
2020-09-26 01:30,Nacho,Báilame - Remix,105570
2020-09-26 03:48,Maroon 5,Never Gonna Leave This Bed,99446
2020-09-26 03:54,Nicki Minaj,Super Bass,200013
2020-09-26 03:56,Rednex,Cotton Eye Joe,61331
2020-09-26 06:51,Rascal Flatts,Bless The Broken Road,226680
2020-09-26 06:52,Gloria Estefan,Conga,41796
2020-09-26 06:56,Rascal Flatts,I Won't Let Go,224571
2020-09-26 07:07,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),223826
2020-09-26 07:10,Selena,Bidi Bidi Bom Bom,187524
2020-09-26 07:13,Jelani Aryeh,Stella Brown,187415
2020-09-26 07:23,One Direction,Night Changes,226600
2020-09-26 07:27,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",220036
2020-09-26 07:29,Jonas Brothers,That's Just The Way We Roll,165387
