,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
407,10/25/2019 20:59,Fall Out Boy,"Sugar, We're Goin Down",emo,229093,Friday
408,10/25/2019 21:30,The Beach Boys,Barbara Ann (Stereo) - Remastered,baroque pop,145489,Friday
409,10/25/2019 23:54,The Goo Goo Dolls,Sympathy,alternative rock,68739,Friday
410,10/26/2019 5:25,Todd Rundgren,Bang the Drum All Day,album rock,36480,Saturday
411,10/27/2019 22:14,Limahl,Never Ending Story,new romantic,212173,Sunday
412,10/27/2019 22:22,Jonas Blue,Perfect Strangers,dance pop,30686,Sunday
413,10/27/2019 22:22,Thomas Rhett,Almost,contemporary country,191591,Sunday
414,10/27/2019 22:27,Mandy Moore,"I See the Light - From ""Tangled"" / Soundtrack Version",dance pop,221460,Sunday
415,10/27/2019 23:12,Brad Paisley,Mud on the Tires,contemporary country,208266,Sunday
416,10/27/2019 23:26,U2,The Miracle (Of Joey Ramone),irish rock,173822,Sunday
417,10/28/2019 14:44,Limahl,Never Ending Story,new romantic,212173,Monday
418,10/28/2019 14:54,Neil Diamond,Cracklin' Rosie,adult standards,178853,Monday
419,10/28/2019 15:15,MKTO,American Dream,dance pop,95748,Monday
420,10/28/2019 16:42,Keith Urban,Parallel Line,australian country,253084,Monday
421,10/28/2019 17:53,Joseph Vincent,Set You Free,pop,205529,Monday
422,10/28/2019 18:54,Mitchel Musso,Hey,post-teen pop,107226,Monday
423,10/29/2019 15:03,Old Dominion,Make It Sweet,contemporary country,187000,Tuesday
424,10/29/2019 15:15,Junior Doctor,Uh Oh,pop emo,217254,Tuesday
425,10/29/2019 16:15,Sidewalk Prophets,Smile,anthem worship,176133,Tuesday
426,10/29/2019 16:15,Sam Smith,Stay With Me,pop,40016,Tuesday
427,10/29/2019 16:17,Lobo,California Kid and Reemo,adult standards,81843,Tuesday
428,10/29/2019 21:30,Skillet,Feel Invincible,alternative metal,229933,Tuesday
429,10/29/2019 21:33,Jessy Matador,Allez Ola Olé,francoton,172745,Tuesday
430,10/29/2019 21:37,The Offspring,"You're Gonna Go Far, Kid",alternative metal,177826,Tuesday
431,10/29/2019 21:42,Fall Out Boy,The Phoenix,emo,244960,Tuesday
432,10/29/2019 21:45,Willy William,La La La,francoton,171630,Tuesday
433,10/29/2019 21:48,blink-182,Darkside,pop punk,178224,Tuesday
434,10/29/2019 21:51,Daddy Yankee,Limbo,latin,224693,Tuesday
435,10/29/2019 21:55,Robin Schulz,Sugar (feat. Francesco Yates),dance pop,219043,Tuesday
436,10/29/2019 21:59,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",dance pop,52206,Tuesday
437,10/29/2019 22:15,Sweet,Ballroom Blitz,album rock,246573,Tuesday
438,10/29/2019 22:22,blink-182,She's Out Of Her Mind,pop punk,162720,Tuesday
439,10/29/2019 22:25,The All-American Rejects,Dirty Little Secret,modern rock,193653,Tuesday
